tweet,label
لاتحزنو يا اخواني فقط هذه دموع تماسيح يدريفها بنكيران لكي يصل إلى فريسته ( حنان الشعب ),2
فعلا نحن نعيش في بلد الأمن والأمان',0
"بوليس العيون طيحو عصابة مختصة فالشفرة ديال الطوموبيلات,",1
awdiii ana ghir dawni hhhh,1
#SouhailaBenLachhab #SocialMediaNight souha ya habibat lmaghariba chukran hit daf3ti 3la hanane khlik m3a hanane w ihab bisou,0
tani haja 9bl matji ntya wyah tahmoni blkofr siiro fin tan3so machi tji tamjdi chi zmr 3la ana otdaf3i 3lih onti chayfa,1
ليكيب: ساديو ماني ماغاديش يلعب المونديال مع السنغال,1
#HazalKaya#cagatayulusoy 💕💛💚✌☕🍵🔝🔝🔝sabaaah lkhiiiir li ajmal 💣+💣=🔥🔥🔥🌟🌟 http://t.co/COR2e89DOf,0
الكاتب المغربي سعيد ناشد رجع لخدمتو بعدما ربح وزارة التربية الوطنية فالقضاء الإداري,1
الحمد لله على ناس الخير ربي يجازيك بكل ما تمنيتي',0
لكم ألف تحية من قلب الريف..أيها الأحرار,0
achno tra l fanz hanane,1
laaa hawla w la 9owata illa billah l3aliy l3adim jihane khassou lli ydir lih 3id milad hhhhhh,2
"كَارديان ديال الطوموبيلات فتطوان دار كارثة وصيفط دري صغير للصبيطار فحالة خطيرة,",1
الحرية_لمعتقلي_الثلاثاء_الأسود',0
"@user kon makanch baghi gha des amis , nhar lwl f hisa dial bety maygolch bli kaybghi chi whda o mazal kaybghiha l db ola la ?",1
لما لا تدهب انت الى الجحيم وتهنينا وتهني دوك الناس من المدابح لي كدير انت والجيش ديالك',2
كون هي خريطي وماقولتي والواا شعب العبودية. . فاك نتا وأمريكا والحلف الأطلسي ومجلس الأمن الدولي,2
khti hna kanbghiw rafa w hanane walakin ihaaab rah wald blaaaaaadnaaaa howa lwl,0
nari wili la hhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhhh,2
@user homa lbareh 7ato selfie li nazal 3la wdit sana jdida o flakher dwzo lvideo 9seer dyal saad taytmna sana sa3ida,1
3lach matriyarch sourt l profil dyalk fel facebook ou twitter,2
hhhh chno ssmit 9aanat bach nssinyaliha hhh,2
"لافروف: المفاوضات بين روسيا وأوكرانيا متعثّرة,",1
حصاد ليس رسول,2
ouf ba3da machi beurk 😂😂😂,1
المنتخب غادي يشد الطيارة للإمارات ولكن ماشي كاع اللعابا غادي يمشيو,1
رسميا.. حمد الله رجع للمنتخب وحاضر فكوب ديموند,1
sm3tini glt 3adi iboseha ana glt nn ma3adich ms hia ka bnt mghribia khaseha dor fih ms lamitie binathom tb9a o howa ra kayfhm,1
@user Wach 3a9el 3la lamtayfa Ba Hajjoub? Bravo !,2
kidehkuni duk likay3eyru paulo coelho o huma 3mrhum 9aryin lih chi 7aja 😂😂,2
دروكبا: الاسلام ديالي غير كذبة راني مازال ماسيحي,1
mni ina w9t onti ghabra bach n9olole jadid hhh,1
salam nihad 3afak sawli ibtissam 3la video clip maghribia w aftakhir et merci,1
@user @user @user @user @user Ta ana 3ziza 3lia dounia bezaf !! ma fhemtch ach wa9e3 men lbare7 !!!!,0
شوفو الفقر ليكاين في المغرب',2
@user @user @user @user Haki bach matgulich ana chiriri Haki chufi zin kidayar http://t.co/TAnbQ2dV0e,0
رأيك يحترم لكن أنا ﻻ اتفق معك.مادا سننتضر أدن من العدالة و التنمية إدا كانوا لا يحكمون؟ فليغادروا المشهد السياسي ادا كانوا صادقين مع الشعب.,2
حمزة منديل.ليس مؤهلا لحمل القميس الوطني لحد الآن',2
@user hbiba rak nawarti danya kolha nsabah 3lik ou nmasi 3lik mwaaaaaaaaaaaaaaah,0
محاااال واش يدير بلاصتو فشي فرقة',2
ناقشو أفكارها السياسية وخليكم من هي إمرأة أو صوتها أو أو,0
@user @user Salam laykhalikom Ana halti daifa oaandi Banti aandha marad mozmin okharajli tbib kina tamanha 700dh fkola aachrin yom aandha lma faras00212633136210 https://t.co/rvnekAMB5X,2
تبارك الله عليك معلم ف كلشي جاتك زوينة واعرة فيها دلالة امازيغية واصالة مغربية تحياتي لك',0
@user Men l9erya l hay linbiat manwsel l dar hta ybred hahah,1
حتى دوز 9 أشهر.. بريطانيا باقي ما عطاتش رسميا الملكية لتشارلز,1
a narii 3la shetana wakha 3lik,2
تقاداو ليك ابنكيران رجعت الأرامل اش من كذبة باغي تخلق ليهم,2
فطور مغربي في الطبيعة .. ياسلام',0
عصام الشوالي يتحسر على عدم مشاركة المغربي أشرف حكيمي كأول لاعب عربي في كلاسيكو الأرض',2
وا لمغاربة لملايرية اللي كيشريو باسبورات مالطا راه الاتحاد الاوربي ناض ليكم ولهاد الدولة,1
بورك فيك عالى ماقدمت ',0
akid hbibtii hna kbaar 3la tafahat o mayhmna 7ad min ghir fanantna,0
حرام. حرام. حرام .حرام ماذا وقع لهؤلاء تجار الدين ',2
@user hanouna bghinak tsahri m3ana had lila ou bghina nsawlouk had loghniya wach maghribiya ou m3a man ghat3amli fiha yarit tjawbi,1
les supporters du zamalik 7taflou w nachttou w far7ou w mchaw yna3ssou w ntouma mazalin tatnb7ou 🤔,1
on a pas fait trois passes tout au long du match houma hna w zeglona 2 barat w peno,2
"بوريل : موقف الحكومة الاسبانية لا يتعارض مع قرارت الامم المتحدة والاتحاد الاوروبي,",1
ادام الله عليك الفرح والسرور',0
rah vocabulaire w lfhama 3la 9ed l7aal a khouya dakchi 3lach tal9ha tsre7 mskin 😭😭,1
zwin mais dir soura l souka w ism loghniya ya riiit ikoun écrit en arabe 3afak mt9ala9ch min ra2yi,1
that moment mli chi be3louk fl7ouma ki goli 3emmi,1
لعنه الله على اليهود والصهاينه',2
الى مكب النفايات لن نرضى ان يترأس الحكومة شخص متلك,2
@user @user maachi mardt ghiir kan irhaa9 3 jours hadi o mchat dir fohossat,2
Diali ana lli kbir 3lik ! sic Benkirane .,2
maz3ouj o 3yan ihab 9atlo n3as ma3ndoch m3a shir ozydon khayf 7it soto mrid darbo lbard,1
دخل الحكومة بشعارات التغيير لكنهم أفسد كل شيء حان وقت الرحيل و المغادرة,2
cho ra2yk b btisam tiskat bbidayat michwarha et merci,0
"محكمة العدل العليا فمدريد حكمات على عمدة بالحبس بسباب الاعتداء الجنسي على مغربي,",1
نريد حكومة اقل مما هي عليه لان حتي تكون ديمقراطية,0
نحن ندافع عن بيت الله الحرام ومقدساتنا. لا عن جهاز الدولة.,0
65 sout da3 ana fe9souuuuuuuuuuuuuuuuni rah khasna nbe3do 7it justin bieber fe aya la7da rah yetla3 sarouuuuuuuuuuukh,2
