tweet,label,clean_text,label_text,text_length,word_count
@user @user @user الشباب ماراهوش يهربو من دزاير علاجال الدين باش يكون في علمك ونتي ادرى وا… @user,1,الشباب ماراهوش يهربو من دزاير علاجال الدين باش يكون في علمك ونتي ادرى وا…,neutral,73.0,14.0
Wei Allabali ، May Ki كتبها في عشية McCannish ، \ n Rani ، نوجه Manonch Ki Ki هنا وإحياءها حتى نتمكن من البقاء على قيد الحياة,1,Wei Allabali ، May Ki كتبها في عشية McCannish ، \ n Rani ، نوجه Manonch Ki Ki هنا وإحياءها حتى نتمكن من البقاء على قيد الحياة,neutral,125.0,27.0
@user ني غالطة واقيلا ؟,2,ني غالطة واقيلا ؟,negative,17.0,4.0
الله يريد ذلك ، لا ، ليس هاها,0,الله يريد ذلك ، لا ، ليس هاها,positive,29.0,8.0
😂😂 mnazi ، قدمك ، دورك,0,😂😂 mnazi ، قدمك ، دورك,positive,22.0,6.0
@user لوكان نقولك علابالي وين كان رايح يعبيها 🤔,1,لوكان نقولك علابالي وين كان رايح يعبيها 🤔,neutral,41.0,8.0
@user 😲😲 ان شاء الله وعلاه لا 🤣🤣 تفكريني بوزارة 😁😁,0,😲😲 ان شاء الله وعلاه لا 🤣🤣 تفكريني بوزارة 😁😁,positive,44.0,10.0
ما قلت هاتا إنه لا يزال يمثل مشكلة شخصية ، كل شيء ، وكيف وكيف ، والطريقة ، والطريقة بالنسبة لي لمساعدتك بشكل عام هي مشكلة نسبية وكتابة,1,ما قلت هاتا إنه لا يزال يمثل مشكلة شخصية ، كل شيء ، وكيف وكيف ، والطريقة ، والطريقة بالنسبة لي لمساعدتك بشكل عام هي مشكلة نسبية وكتابة,neutral,134.0,28.0
@user علابالي هذا الفيديو يعجبك🤣🤣🤣\n@user,0,علابالي هذا الفيديو يعجبك🤣🤣🤣\n,positive,30.0,4.0
@user @user خطيك من القيل و القال ، هذه نصيحة لك من اخ جزائري كيفك ، لا وجود لشيء اسمه سبورة سحرية,0,خطيك من القيل و القال ، هذه نصيحة لك من اخ جزائري كيفك ، لا وجود لشيء اسمه سبورة سحرية,positive,86.0,20.0
