tweet,label,clean_text,label_text,text_length,word_count
wah akhouya titiz o dikchi 3la 9ad lhal,1,wah akhouya titiz o dikchi la ad lhal,neutral,37,8
شكرا سلمى ❤️❤️,1,شكرا سلمى ❤️❤️,neutral,14,3
lwahid li bgha ithamal mas2oulia f match retour chmayat fin waslouna,2,lwahid li bgha ithamal masoulia f match retour chmayat fin waslouna,negative,67,11
"بعد 40 دقيقة من الروطار.. زعماء الأغلبية تجمعو ف الفيلا ديال التراكتور والاستقلال جا بجوج ريوس حمدي وبركة – تصاور وفيديو,",1,"بعد دقيقة من الروطار.. زعماء الأغلبية تجمعو ف الفيلا ديال التراكتور والاستقلال جا بجوج ريوس حمدي وبركة – تصاور وفيديو,",neutral,118,20
سؤال يدل على قمة لحقد تجاه المغرب',2,سؤال يدل على قمة لحقد تجاه المغرب',negative,34,7
بناءً على ابنة بنكران ، لديها القدرات أو الدبلوم المطلوبة ، يأخذ الله الحق في المضطهدين,2,بناءً على ابنة بنكران ، لديها القدرات أو الدبلوم المطلوبة ، يأخذ الله الحق في المضطهدين,negative,87,16
VIVE Nabila Mounib - الدكتورة نبيلة منيب,0,VIVE Nabila Mounib - الدكتورة نبيلة منيب,positive,40,7
غانصوتو لبنكيران غير كون هاني :),0,غانصوتو لبنكيران غير كون هاني :),positive,32,6
lah msha amal l kan 3ndy😭,1,lah msha amal l kan ndy😭,neutral,24,6
العالم يتجه نحو المستقبل و نحن نتجه نحو الماضي',2,العالم يتجه نحو المستقبل و نحن نتجه نحو الماضي',negative,47,9
howa bghaha tndam lcharika dyalo ohiya jdida ibtissam 5aft ama kon bgha ta3amol boghniya kon raha waf9at,1,howa bghaha tndam lcharika dyalo ohiya jdida ibtissam aft ama kon bgha taamol boghniya kon raha wafat,neutral,101,17
هذا كله لا علاقة له بالحقيقة . الحقيقة الواضحة والمرة هي ! بيع حكام العرب للقدس',2,هذا كله لا علاقة له بالحقيقة . الحقيقة الواضحة والمرة هي ! بيع حكام العرب للقدس',negative,80,16
لوكان بدا بالتقشف من راسو و وزرائه و البرلمانيين و ميزانية القصر.. كنا لنصدق هذا الكلام. نقطة الى السطر,2,لوكان بدا بالتقشف من راسو و وزرائه و البرلمانيين و ميزانية القصر.. كنا لنصدق هذا الكلام. نقطة الى السطر,negative,103,19
mama bghat lyrics clean o wlad l 9 bghawni nkoun khayb bach ygolo kayn hay nahda 2,1,mama bghat lyrics clean o wlad l bghawni nkoun khayb bach ygolo kayn hay nahda,neutral,78,15
"الاتحاد الاشتراكي دعم رحاب ضد الحملات لي تعرضات ليها وانتخبها مجددا فالمكتب السياسي,",1,"الاتحاد الاشتراكي دعم رحاب ضد الحملات لي تعرضات ليها وانتخبها مجددا فالمكتب السياسي,",neutral,84,13
باقي الحال ههههههه,1,باقي الحال ههههههه,neutral,18,3
"إهانة للجزائر والمغرب كذلك. لقد أصبحنا مثل الشر في منزل العريس الفرنسي. الله يرحم أمجادنا ونقي """,2,"إهانة للجزائر والمغرب كذلك. لقد أصبحنا مثل الشر في منزل العريس الفرنسي. الله يرحم أمجادنا ونقي """,negative,96,17
hta hadak rah ghir mhtot rah fransa li dart lihom hadchi kaml,1,hta hadak rah ghir mhtot rah fransa li dart lihom hadchi kaml,neutral,61,12
"كلنا خائن """,2,"كلنا خائن """,negative,11,3
